epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,6537.56,2.64297,1.47975,1.03983,0.38308,0.3155,0.2973,0.09729,2.68208,1.4974,1.0318,0.0008318,0.0008318,0.0008318
61,6637.55,2.63126,1.46504,1.04299,0.41558,0.32248,0.31554,0.10525,2.63935,1.44678,1.04336,0.000812,0.000812,0.000812
62,6734.76,2.62441,1.47475,1.04235,0.39176,0.31742,0.30241,0.09874,2.65408,1.47686,1.02431,0.0007922,0.0007922,0.0007922
63,6837.35,2.61237,1.46805,1.04638,0.42016,0.33893,0.32576,0.10839,2.60581,1.44913,1.02797,0.0007724,0.0007724,0.0007724
64,6936.91,2.63921,1.46586,1.04234,0.42082,0.33913,0.32819,0.11078,2.58529,1.43998,1.02557,0.0007526,0.0007526,0.0007526
65,7034.66,2.62482,1.46425,1.03762,0.40017,0.33157,0.31454,0.1053,2.63763,1.45575,1.02934,0.0007328,0.0007328,0.0007328
66,7134.73,2.59958,1.46091,1.0447,0.41749,0.33751,0.32666,0.11088,2.59441,1.4314,1.02616,0.000713,0.000713,0.000713
67,7238.76,2.60804,1.46112,1.03781,0.42173,0.33946,0.33192,0.11233,2.57992,1.42658,1.02174,0.0006932,0.0006932,0.0006932
68,7336.39,2.61335,1.46148,1.03525,0.43846,0.33839,0.33346,0.1118,2.59342,1.43298,1.03489,0.0006734,0.0006734,0.0006734
69,7436.29,2.59944,1.45521,1.03929,0.42864,0.33677,0.33321,0.11259,2.5783,1.42094,1.02501,0.0006536,0.0006536,0.0006536
70,7534.02,2.62043,1.46792,1.03933,0.42041,0.34173,0.32677,0.10955,2.59546,1.44204,1.0238,0.0006338,0.0006338,0.0006338
71,7632,2.60816,1.46262,1.03494,0.41489,0.34414,0.32693,0.10818,2.6043,1.45914,1.02503,0.000614,0.000614,0.000614
72,7730.78,2.58794,1.45145,1.03991,0.39391,0.30894,0.29681,0.09972,2.6973,1.47242,1.03398,0.0005942,0.0005942,0.0005942
73,7827.99,2.60798,1.44937,1.03672,0.43292,0.34526,0.34137,0.11546,2.57404,1.4092,1.02654,0.0005744,0.0005744,0.0005744
74,7928.05,2.57244,1.42746,1.03559,0.41225,0.33074,0.31864,0.10537,2.64058,1.44097,1.02465,0.0005546,0.0005546,0.0005546
75,8027.09,2.59931,1.43623,1.0297,0.42232,0.33997,0.33162,0.11168,2.58827,1.42407,1.02089,0.0005348,0.0005348,0.0005348
76,8124.85,2.58148,1.44284,1.03422,0.42766,0.33176,0.32848,0.11011,2.60627,1.42193,1.02752,0.000515,0.000515,0.000515
77,8232.24,2.59154,1.43636,1.03099,0.42692,0.34057,0.33204,0.1107,2.61043,1.41469,1.0251,0.0004952,0.0004952,0.0004952
78,8372.45,2.58485,1.44432,1.03053,0.4139,0.32838,0.31922,0.10678,2.63567,1.44575,1.02638,0.0004754,0.0004754,0.0004754
79,8476.23,2.57343,1.43645,1.02954,0.40715,0.33074,0.31976,0.1083,2.62816,1.43656,1.02391,0.0004556,0.0004556,0.0004556
80,8575.59,2.58323,1.43362,1.03438,0.42366,0.35026,0.33848,0.11459,2.58368,1.43371,1.02078,0.0004358,0.0004358,0.0004358
81,8676.08,2.55594,1.41889,1.02787,0.43368,0.33816,0.33432,0.11187,2.61325,1.41821,1.02648,0.000416,0.000416,0.000416
82,8773.51,2.55874,1.42059,1.03751,0.42504,0.33477,0.32775,0.10935,2.62637,1.41979,1.0253,0.0003962,0.0003962,0.0003962
83,8871.72,2.5703,1.4158,1.02525,0.42694,0.35012,0.33594,0.11094,2.61269,1.44436,1.02446,0.0003764,0.0003764,0.0003764
84,8985.44,2.57577,1.41278,1.02481,0.42828,0.34071,0.33679,0.11334,2.58462,1.41023,1.02303,0.0003566,0.0003566,0.0003566
85,9085.64,2.57806,1.40334,1.02118,0.43422,0.34516,0.33842,0.11362,2.60188,1.40986,1.02396,0.0003368,0.0003368,0.0003368
86,9225.96,2.56195,1.44535,1.03451,0.43425,0.33774,0.33467,0.1128,2.59988,1.40761,1.02472,0.000317,0.000317,0.000317
87,9323.71,2.54673,1.40759,1.02649,0.42801,0.34061,0.33139,0.11001,2.62065,1.41171,1.02637,0.0002972,0.0002972,0.0002972
88,9435.72,2.56117,1.41298,1.02568,0.43306,0.3486,0.3414,0.11563,2.58618,1.40747,1.02109,0.0002774,0.0002774,0.0002774
89,9534.34,2.54068,1.39859,1.03904,0.43219,0.34896,0.34091,0.1143,2.59009,1.40615,1.01949,0.0002576,0.0002576,0.0002576
