epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,6954.78,1.60249,1.08338,1.51617,0.63189,0.59027,0.60922,0.27001,1.97955,1.32448,1.88743,0.000704073,0.000704073,0.000704073
62,7068.07,1.58901,1.065,1.50618,0.63678,0.5931,0.61575,0.27263,1.97753,1.30977,1.88593,0.000674649,0.000674649,0.000674649
63,7181.61,1.58727,1.05456,1.49943,0.64238,0.58507,0.6138,0.2724,1.97179,1.31111,1.88384,0.000645557,0.000645557,0.000645557
64,7294.68,1.5801,1.05245,1.50342,0.64053,0.59358,0.61634,0.27472,1.96876,1.30418,1.88626,0.000616824,0.000616824,0.000616824
65,7408.16,1.55641,1.02424,1.48255,0.647,0.59788,0.62135,0.27839,1.96918,1.28746,1.88665,0.000588479,0.000588479,0.000588479
66,7521.5,1.54753,1.00691,1.47428,0.64014,0.59811,0.62052,0.2789,1.96879,1.28734,1.88859,0.000560549,0.000560549,0.000560549
67,7635.11,1.54219,1.01158,1.47389,0.64774,0.59732,0.62255,0.2813,1.96389,1.28103,1.883,0.000533064,0.000533064,0.000533064
68,7748.56,1.53394,1.00044,1.47492,0.64507,0.60199,0.62326,0.28258,1.95645,1.27588,1.88725,0.000506049,0.000506049,0.000506049
69,7861.94,1.52203,0.98519,1.45597,0.65205,0.59872,0.62538,0.2852,1.95865,1.27041,1.88299,0.000479531,0.000479531,0.000479531
70,7975.34,1.51301,0.96711,1.44807,0.65052,0.60023,0.62661,0.2886,1.95232,1.26465,1.88167,0.000453537,0.000453537,0.000453537
71,8088.74,1.50194,0.96195,1.4376,0.65592,0.60066,0.62991,0.29009,1.94599,1.25682,1.8719,0.000428093,0.000428093,0.000428093
72,8202.32,1.49569,0.95326,1.44236,0.6541,0.60565,0.63001,0.29085,1.94522,1.25051,1.88245,0.000403222,0.000403222,0.000403222
73,8315.75,1.47944,0.93901,1.42897,0.65965,0.60389,0.63216,0.29289,1.94192,1.24508,1.87451,0.00037895,0.00037895,0.00037895
74,8429,1.47929,0.93949,1.42729,0.65194,0.60869,0.63243,0.29404,1.93694,1.24889,1.86675,0.000355301,0.000355301,0.000355301
75,8542.34,1.47166,0.93269,1.41999,0.64717,0.6142,0.63345,0.29432,1.93756,1.2459,1.87137,0.000332298,0.000332298,0.000332298
76,8655.84,1.46237,0.92308,1.41731,0.65654,0.60631,0.63223,0.29567,1.93728,1.24017,1.88297,0.000309964,0.000309964,0.000309964
77,8769.33,1.44884,0.91313,1.40914,0.6503,0.61195,0.63321,0.29718,1.93395,1.24132,1.87533,0.000288321,0.000288321,0.000288321
78,8882.71,1.44835,0.91282,1.40431,0.66003,0.60591,0.63533,0.29818,1.93262,1.23369,1.8737,0.00026739,0.00026739,0.00026739
79,8996.11,1.43904,0.90317,1.39827,0.65742,0.61054,0.63611,0.29952,1.92767,1.22791,1.86882,0.000247192,0.000247192,0.000247192
80,9109.69,1.43579,0.89672,1.39451,0.65332,0.61265,0.63674,0.30074,1.92518,1.22878,1.86807,0.000227747,0.000227747,0.000227747
81,9223.5,1.42743,0.88933,1.38788,0.66023,0.60803,0.63558,0.30104,1.92533,1.22309,1.87451,0.000209073,0.000209073,0.000209073
82,9341.51,1.41634,0.88345,1.38384,0.66316,0.60767,0.63773,0.3025,1.92132,1.22306,1.87161,0.00019119,0.00019119,0.00019119
83,9454.67,1.41042,0.86594,1.37557,0.65774,0.61512,0.63907,0.30401,1.91939,1.22045,1.87349,0.000174115,0.000174115,0.000174115
84,9568.06,1.40781,0.8724,1.37684,0.66238,0.61094,0.6383,0.30451,1.91824,1.2173,1.87066,0.000157865,0.000157865,0.000157865
85,9681.57,1.3975,0.85899,1.37234,0.66393,0.61204,0.63885,0.30567,1.9163,1.21447,1.87123,0.000142456,0.000142456,0.000142456
86,9794.94,1.3954,0.85751,1.36867,0.6632,0.61358,0.63924,0.30605,1.91445,1.2128,1.87135,0.000127904,0.000127904,0.000127904
87,9908.32,1.38628,0.85403,1.36538,0.66598,0.61385,0.6408,0.30626,1.91368,1.20992,1.87127,0.000114221,0.000114221,0.000114221
88,10021.5,1.38476,0.84714,1.35989,0.66402,0.61323,0.64107,0.30733,1.91135,1.2069,1.86791,0.000101423,0.000101423,0.000101423
89,10134.9,1.38529,0.85359,1.3602,0.66136,0.61693,0.64138,0.30823,1.9084,1.20738,1.86651,8.95213e-05,8.95213e-05,8.95213e-05
90,10248.2,1.37551,0.84276,1.35726,0.66218,0.61794,0.64169,0.30849,1.90873,1.2064,1.86787,7.8528e-05,7.8528e-05,7.8528e-05
91,10362.7,1.44473,0.87619,1.42908,0.66486,0.6116,0.64064,0.3058,1.91474,1.20747,1.8589,6.8454e-05,6.8454e-05,6.8454e-05
92,10475.5,1.40864,0.84083,1.40509,0.65992,0.61332,0.63932,0.30401,1.91922,1.2097,1.86268,5.93093e-05,5.93093e-05,5.93093e-05
93,10588.3,1.40041,0.8344,1.40407,0.65929,0.61353,0.63919,0.30494,1.91884,1.20999,1.8639,5.11027e-05,5.11027e-05,5.11027e-05
94,10701.2,1.39535,0.82233,1.39966,0.65689,0.61642,0.64024,0.30547,1.91891,1.20919,1.86759,4.38424e-05,4.38424e-05,4.38424e-05
95,10813.7,1.38196,0.81986,1.39655,0.65662,0.61781,0.63971,0.30615,1.92022,1.2088,1.87122,3.75356e-05,3.75356e-05,3.75356e-05
96,10926.3,1.38013,0.81414,1.39047,0.65817,0.6178,0.64016,0.30611,1.91902,1.20749,1.8705,3.21885e-05,3.21885e-05,3.21885e-05
97,11039,1.38118,0.81595,1.39457,0.65609,0.61995,0.64129,0.30666,1.9177,1.20665,1.86905,2.78064e-05,2.78064e-05,2.78064e-05
98,11151.6,1.36662,0.79939,1.38335,0.65905,0.61864,0.64186,0.30733,1.91671,1.20713,1.87125,2.43937e-05,2.43937e-05,2.43937e-05
99,11264.3,1.36824,0.80696,1.38337,0.66423,0.61538,0.64227,0.30762,1.9149,1.20758,1.86851,2.19535e-05,2.19535e-05,2.19535e-05
100,11377.1,1.37433,0.81006,1.38833,0.66792,0.61151,0.64267,0.30788,1.91402,1.20665,1.86821,2.04885e-05,2.04885e-05,2.04885e-05
