epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,4384.53,1.74732,1.35443,1.51083,0.5944,0.56099,0.56853,0.21958,2.0831,1.50697,1.79092,0.00168994,0.00168994,0.00168994
61,4456.6,1.74105,1.34458,1.50789,0.59467,0.5617,0.56932,0.21997,2.08626,1.50402,1.79449,0.00154982,0.00154982,0.00154982
62,4528.76,1.73448,1.3313,1.49547,0.59211,0.56435,0.56944,0.21941,2.0898,1.50272,1.79588,0.0014151,0.0014151,0.0014151
63,4600.97,1.72613,1.32734,1.49077,0.59118,0.56622,0.56908,0.2201,2.09081,1.49928,1.79472,0.00128599,0.00128599,0.00128599
64,4673.16,1.72359,1.31461,1.48449,0.59074,0.56594,0.56833,0.21952,2.09183,1.49927,1.79375,0.00116268,0.00116268,0.00116268
65,4745.65,1.71397,1.31373,1.48309,0.58513,0.57083,0.56758,0.2194,2.09242,1.49994,1.79294,0.00104537,0.00104537,0.00104537
66,4817.81,1.71359,1.30133,1.47948,0.58506,0.56901,0.56666,0.21915,2.09531,1.49611,1.79304,0.000934225,0.000934225,0.000934225
67,4890.26,1.7072,1.29757,1.47893,0.58565,0.56668,0.5655,0.21899,2.09763,1.49413,1.79535,0.000829431,0.000829431,0.000829431
68,4962.45,1.70353,1.29014,1.47273,0.58887,0.5678,0.56664,0.21907,2.10036,1.4911,1.79683,0.000731145,0.000731145,0.000731145
69,5034.36,1.69799,1.28545,1.47235,0.58516,0.57144,0.56698,0.21905,2.10189,1.48972,1.79914,0.000639518,0.000639518,0.000639518
70,5106.11,1.69984,1.28427,1.47405,0.58384,0.57199,0.56585,0.2188,2.1038,1.48878,1.80152,0.000554691,0.000554691,0.000554691
71,5179.17,1.72481,1.25632,1.51337,0.58242,0.57382,0.56594,0.21941,2.10393,1.48768,1.80067,0.000476796,0.000476796,0.000476796
72,5251.07,1.70496,1.22944,1.50459,0.58317,0.57325,0.56631,0.21882,2.10522,1.48698,1.80153,0.000405953,0.000405953,0.000405953
73,5322.79,1.69969,1.21732,1.50239,0.58556,0.57008,0.56592,0.21868,2.10734,1.48583,1.80312,0.00034227,0.00034227,0.00034227
