epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,23643.5,0.88845,0.43966,1.1218,0.77934,0.67908,0.7514,0.46472,1.54541,0.95522,1.75953,1.612e-05,1.612e-05,1.612e-05
112,23856.2,0.88359,0.43558,1.11497,0.77895,0.68005,0.75139,0.46483,1.54546,0.95554,1.76006,1.42061e-05,1.42061e-05,1.42061e-05
113,24069.1,0.87378,0.42637,1.1077,0.78014,0.67855,0.75143,0.46508,1.54514,0.95595,1.7601,1.24902e-05,1.24902e-05,1.24902e-05
114,24281.9,0.86506,0.42154,1.10278,0.77936,0.67915,0.75151,0.46514,1.54486,0.95616,1.76019,1.09733e-05,1.09733e-05,1.09733e-05
115,24494.7,0.87187,0.4286,1.10821,0.7773,0.6811,0.75163,0.46521,1.54446,0.95607,1.76003,9.65656e-06,9.65656e-06,9.65656e-06
116,24707.4,0.86609,0.42715,1.10416,0.77721,0.68113,0.75163,0.46547,1.54455,0.95623,1.76028,8.54088e-06,8.54088e-06,8.54088e-06
117,24920.5,0.86244,0.42193,1.10326,0.77803,0.68036,0.75154,0.46535,1.54425,0.95628,1.76026,7.627e-06,7.627e-06,7.627e-06
118,25132.9,0.85662,0.41807,1.09932,0.77865,0.68011,0.7516,0.4653,1.54422,0.95653,1.76051,6.91555e-06,6.91555e-06,6.91555e-06
119,25345.2,0.85173,0.41493,1.09841,0.77871,0.67972,0.75155,0.46551,1.54372,0.95656,1.7604,6.40703e-06,6.40703e-06,6.40703e-06
120,25558.1,0.8569,0.41705,1.09983,0.77941,0.67925,0.75128,0.46568,1.54352,0.95713,1.76041,6.10177e-06,6.10177e-06,6.10177e-06
